date,total_vaccinations_madeira,people_vaccinated_madeira,people_fully_vaccinated_madeira
2021-01-13T00:00:00Z,3000,3000,NA
2021-01-21T00:00:00Z,4832,4832,NA
2021-02-05T00:00:00Z,10240,7037,3203
2021-02-12T00:00:00Z,14124,9603,4521
2021-02-15T00:00:00Z,15763,10990,4773
2021-02-19T00:00:00Z,17521,12262,5259
2021-02-22T00:00:00Z,18895,13484,5411
2021-03-01T00:00:00Z,23301,15735,7566
2021-03-08T00:00:00Z,27853,17170,10683
2021-03-15T00:00:00Z,35133,22051,13082
2021-03-22T00:00:00Z,40582,25153,15429
2021-03-29T00:00:00Z,46037,30426,15611
2021-04-05T00:00:00Z,48501,31630,16871
2021-04-06T00:00:00Z,NA,NA,NA
2021-04-07T00:00:00Z,NA,NA,NA
2021-04-08T00:00:00Z,NA,NA,NA
2021-04-09T00:00:00Z,NA,NA,NA
2021-04-10T00:00:00Z,NA,NA,NA
2021-04-11T00:00:00Z,60014,41844,18170
2021-04-12T00:00:00Z,NA,NA,NA
2021-04-13T00:00:00Z,NA,NA,NA
2021-04-14T00:00:00Z,NA,NA,NA
2021-04-15T00:00:00Z,NA,NA,NA
2021-04-16T00:00:00Z,NA,NA,NA
2021-04-17T00:00:00Z,NA,NA,NA
2021-04-18T00:00:00Z,69737,50269,19468
2021-04-19T00:00:00Z,NA,NA,NA
2021-04-20T00:00:00Z,NA,NA,NA
2021-04-21T00:00:00Z,NA,NA,NA
2021-04-22T00:00:00Z,NA,NA,NA
2021-04-23T00:00:00Z,NA,NA,NA
2021-04-24T00:00:00Z,NA,NA,NA
2021-04-25T00:00:00Z,81673,60077,21596
2021-04-26T00:00:00Z,NA,NA,NA
2021-04-27T00:00:00Z,NA,NA,NA
2021-04-28T00:00:00Z,NA,NA,NA
2021-04-29T00:00:00Z,NA,NA,NA
2021-04-30T00:00:00Z,NA,NA,NA
2021-05-01T00:00:00Z,NA,NA,NA
2021-05-02T00:00:00Z,91293,68897,22396
2021-05-03T00:00:00Z,NA,NA,NA
2021-05-04T00:00:00Z,NA,NA,NA
2021-05-05T00:00:00Z,NA,NA,NA
2021-05-06T00:00:00Z,NA,NA,NA
2021-05-07T00:00:00Z,NA,NA,NA
2021-05-08T00:00:00Z,NA,NA,NA
2021-05-09T00:00:00Z,NA,NA,NA
2021-05-10T00:00:00Z,104185,76501,27684
2021-05-11T00:00:00Z,NA,NA,NA
2021-05-12T00:00:00Z,NA,NA,NA
2021-05-13T00:00:00Z,112930,82855,30078
2021-05-14T00:00:00Z,115498,84858,30640
2021-05-15T00:00:00Z,118674,86659,32015
2021-05-16T00:00:00Z,121622,87904,33719
2021-05-17T00:00:00Z,122497,88189,34308
2021-05-18T00:00:00Z,124887,88869,36018
2021-05-19T00:00:00Z,126780,89807,36975
2021-05-20T00:00:00Z,127802,90073,37729
2021-05-21T00:00:00Z,130284,90328,39956
2021-05-22T00:00:00Z,NA,NA,NA
2021-05-23T00:00:00Z,133357,90448,42909
2021-05-24T00:00:00Z,134835,90851,43984
2021-05-25T00:00:00Z,NA,NA,NA
2021-05-26T00:00:00Z,136806,92005,44801
2021-05-27T00:00:00Z,139195,92640,46555
2021-05-28T00:00:00Z,141044,93328,47716
2021-05-29T00:00:00Z,NA,NA,NA
2021-05-30T00:00:00Z,NA,NA,NA
2021-05-31T00:00:00Z,145849,93977,51872
2021-06-01T00:00:00Z,147926,94467,53459
2021-06-02T00:00:00Z,151274,95614,55660
2021-06-03T00:00:00Z,NA,NA,NA
2021-06-04T00:00:00Z,156597,98186,58411
2021-06-05T00:00:00Z,NA,NA,NA
2021-06-06T00:00:00Z,NA,NA,NA
2021-06-07T00:00:00Z,164461,101711,62750
2021-06-08T00:00:00Z,167538,102131,65407
2021-06-09T00:00:00Z,170037,102452,67585
2021-06-10T00:00:00Z,NA,NA,NA
2021-06-11T00:00:00Z,NA,NA,NA
2021-06-12T00:00:00Z,NA,NA,NA
2021-06-13T00:00:00Z,NA,NA,NA
2021-06-14T00:00:00Z,NA,NA,NA
2021-06-15T00:00:00Z,185819,105291,80528
2021-06-16T00:00:00Z,NA,NA,NA
2021-06-17T00:00:00Z,NA,NA,NA
2021-06-18T00:00:00Z,190883,106601,84282
2021-06-19T00:00:00Z,NA,NA,NA
2021-06-20T00:00:00Z,NA,NA,NA
2021-06-21T00:00:00Z,NA,NA,NA
2021-06-22T00:00:00Z,196223,110259,85964
2021-06-23T00:00:00Z,NA,NA,NA
2021-06-24T00:00:00Z,201100,114030,87070
2021-06-25T00:00:00Z,203337,115334,88003
2021-06-26T00:00:00Z,NA,NA,NA
2021-06-27T00:00:00Z,NA,NA,NA
2021-06-28T00:00:00Z,NA,NA,NA
2021-06-29T00:00:00Z,213778,122260,91518
2021-06-30T00:00:00Z,NA,NA,NA
2021-07-01T00:00:00Z,NA,NA,NA
2021-07-02T00:00:00Z,NA,NA,NA
2021-07-03T00:00:00Z,NA,NA,NA
2021-07-04T00:00:00Z,NA,NA,NA
2021-07-05T00:00:00Z,NA,NA,NA
2021-07-06T00:00:00Z,235486,133710,101776
